time,temperature_2m,apparent_temperature,sunrise (iso8601),sunset (iso8601),precipitation,rain,precipitation_hours (h),wind_speed_10m,wind_gusts_10m,wind_direction_10m,Elevation,cloud_cover_mean (%),relative_humidity_2m_mean (%),pressure_msl_mean (hPa),et0_fao_evapotranspiration_sum (mm),cloudburst
01-07-2012,29.4,30.6,2012-07-01T06:48,2012-07-01T20:51,0,0,0,9.4,29.9,227,210,6,91,996.7,4.76,0
02-07-2012,28,31.1,2012-07-02T06:48,2012-07-02T20:51,11.6,11.6,11,9.7,32,159,210,8,98,997.4,4.58,0
03-07-2012,25.3,29.6,2012-07-03T06:49,2012-07-03T20:51,25.7,25.7,22,8.9,25.9,168,210,39,100,1002.1,3.9,0
04-07-2012,23.6,28,2012-07-04T06:49,2012-07-04T20:51,33.4,33.4,20,5.5,22,184,210,100,99,1003.3,4.25,0
05-07-2012,23.9,28.3,2012-07-05T06:50,2012-07-05T20:51,15.8,15.8,18,6.5,23.4,216,210,66,100,1001.7,4.1,0
06-07-2012,23.9,28.1,2012-07-06T06:50,2012-07-06T20:51,12.7,12.7,22,5.6,26.6,205,210,33,100,1000.6,3.95,0
07-07-2012,23.1,27.2,2012-07-07T06:51,2012-07-07T20:51,73.5,73.5,21,6,25.6,233,210,51,99,999.3,4.39,0
08-07-2012,23.4,27.8,2012-07-08T06:51,2012-07-08T20:51,8.4,8.4,6,4.6,21.6,263,210,45,100,999.6,4.46,0
09-07-2012,24.2,28.4,2012-07-09T06:52,2012-07-09T20:50,1.2,1.2,5,5.4,23.8,319,210,47,100,1000.4,3.55,0
10-07-2012,24.8,29.1,2012-07-10T06:52,2012-07-10T20:50,3.6,3.6,6,6.4,21.2,227,210,70,100,999.5,3.9,0
11-07-2012,23.7,28.1,2012-07-11T06:53,2012-07-11T20:50,74.2,74.2,21,5.9,28.8,85,210,52,98,999.6,4.15,0
12-07-2012,23,27.5,2012-07-12T06:53,2012-07-12T20:50,69.5,69.5,23,4.9,22,169,210,100,97,999.5,4.05,0
13-07-2012,23.3,27.6,2012-07-13T06:54,2012-07-13T20:49,10.2,10.2,16,7.2,25.9,215,210,100,100,1000.3,3.56,0
14-07-2012,22.9,26.8,2012-07-14T06:54,2012-07-14T20:49,5.4,5.4,13,6.4,20.9,267,210,71,98,1001.4,3.49,0
15-07-2012,24.2,28,2012-07-15T06:55,2012-07-15T20:49,0.8,0.8,6,10.4,32,275,210,43,100,1000.1,3.7,0
16-07-2012,24.2,28.2,2012-07-16T06:55,2012-07-16T20:48,4.4,4.4,13,9.2,28.4,252,210,63,100,998,2.91,0
17-07-2012,24.5,28.6,2012-07-17T06:56,2012-07-17T20:48,2.2,2.2,8,9.1,29.5,266,210,55,100,998.1,2.2,0
18-07-2012,25.2,29.8,2012-07-18T06:56,2012-07-18T20:48,3.7,3.7,13,9.7,42.1,263,210,40,89,998.5,4.09,0
19-07-2012,25.2,30.1,2012-07-19T06:57,2012-07-19T20:47,7.7,7.7,19,11.4,41,244,210,45,85,997.9,4.27,0
20-07-2012,24.4,29.1,2012-07-20T06:58,2012-07-20T20:47,4.9,4.9,15,5.9,27.7,197,210,72,93,996.5,4.13,0
21-07-2012,24,27.9,2012-07-21T06:58,2012-07-21T20:46,0.1,0.1,1,5.4,20.5,199,210,86,100,996.6,2.38,0
22-07-2012,25.1,29.4,2012-07-22T06:59,2012-07-22T20:46,1.9,1.9,10,8.9,25.2,241,210,49,96,996.1,3.69,0
23-07-2012,24.2,28.8,2012-07-23T06:59,2012-07-23T20:45,7.7,7.7,21,5.1,23.4,230,210,23,95,995.9,4.62,0
24-07-2012,23.7,28.3,2012-07-24T07:00,2012-07-24T20:45,10.5,10.5,20,5.9,26.3,202,210,77,99,997.6,3.81,0
25-07-2012,24.2,29.2,2012-07-25T07:01,2012-07-25T20:44,19,19,18,5.5,24.5,222,210,85,99,999.2,3.66,0
26-07-2012,24,28.6,2012-07-26T07:01,2012-07-26T20:43,6.6,6.6,18,6.8,20.2,271,210,100,100,998.2,2.88,0
27-07-2012,24.2,28.6,2012-07-27T07:02,2012-07-27T20:43,8.8,8.8,12,9.2,28.4,257,210,75,100,997.3,2.86,0
28-07-2012,23.8,28.1,2012-07-28T07:02,2012-07-28T20:42,10.7,10.7,21,5.4,20.5,224,210,89,96,999.1,2.88,0
29-07-2012,23.8,28.2,2012-07-29T07:03,2012-07-29T20:41,10.8,10.8,20,6.4,22.3,171,210,43,95,1001.9,3.13,0
30-07-2012,23.2,27.6,2012-07-30T07:04,2012-07-30T20:41,16.6,16.6,19,3.8,15.5,156,210,64,94,1002.9,3.68,0
31-07-2012,23.7,28.1,2012-07-31T07:04,2012-07-31T20:40,9.5,9.5,22,4.9,20.9,315,210,60,97,1002.4,3.52,0
01-08-2012,23.1,27.6,2012-08-01T07:05,2012-08-01T20:39,19.4,19.4,15,4.7,15.8,284,210,81,100,1000.9,3.63,0
02-08-2012,23.6,28,2012-08-02T07:05,2012-08-02T20:39,18.9,18.9,19,7.2,27.4,255,210,93,100,1000.9,2.25,0
03-08-2012,23.2,27.8,2012-08-03T07:06,2012-08-03T20:38,31.3,31.3,22,6.6,31.7,204,210,88,100,1003.3,1.85,1
04-08-2012,22.9,27.1,2012-08-04T07:07,2012-08-04T20:37,21.5,21.5,20,5.2,38.2,190,210,90,95,1004.4,3.01,0
05-08-2012,22.7,26.2,2012-08-05T07:07,2012-08-05T20:36,17.8,17.8,16,4.8,24.5,44,210,53,95,1005.4,3.25,0
06-08-2012,23.8,27.2,2012-08-06T07:08,2012-08-06T20:35,0,0,0,7.2,22.3,239,210,50,91,1004.1,3.94,0
07-08-2012,24,28.2,2012-08-07T07:08,2012-08-07T20:35,9.3,9.3,12,7.4,25.6,260,210,27,91,1001.3,4.22,0
08-08-2012,23.3,27.5,2012-08-08T07:09,2012-08-08T20:34,18,18,12,7.1,22,266,210,45,96,1000.3,4.7,0
09-08-2012,22.9,26.9,2012-08-09T07:10,2012-08-09T20:33,13.9,13.9,16,7.7,22.3,237,210,21,99,1001.1,4.69,0
10-08-2012,23.2,27,2012-08-10T07:10,2012-08-10T20:32,9.9,9.9,16,7,26.3,24,210,19,100,1001.3,4.56,0
11-08-2012,23.9,27.8,2012-08-11T07:11,2012-08-11T20:31,10.8,10.8,7,9.7,29.2,263,210,51,100,1003.2,3.24,0
12-08-2012,23.3,27.1,2012-08-12T07:11,2012-08-12T20:30,7.6,7.6,17,7.5,28.8,290,210,51,94,1005.1,4.02,0
